['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180204T094159_83_61'],"['Coniferous forest', 'Transitional woodland/shrub', 'Water bodies']","[1, 3, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170803T094031_82_49'],"['Non-irrigated arable land', 'Complex cultivation patterns']","[2, 6]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170829T105019_66_21'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Pastures', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation']","[10, 2, 7, 6, 5]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180326T112109_81_47'],"['Agro-forestry areas', 'Sclerophyllous vegetation', 'Transitional woodland/shrub']","[11, 17, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171016T101009_80_61'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180527T093041_9_74'],"['Coniferous forest', 'Transitional woodland/shrub', 'Water bodies']","[1, 3, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180525T094029_4_87'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180515T094029_61_25'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub', 'Water bodies']","[1, 0, 3, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170924T093019_63_38'],"['Coniferous forest', 'Peatbogs']","[1, 12]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170818T103021_0_51'],"['Non-irrigated arable land', 'Pastures', 'Broad-leaved forest']","[2, 7, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170829T105019_87_36'],"['Broad-leaved forest', 'Mixed forest']","[4, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170808T094029_79_57'],"['Non-irrigated arable land', 'Mixed forest', 'Transitional woodland/shrub']","[2, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180515T112110_51_84'],"['Non-irrigated arable land', 'Agro-forestry areas', 'Broad-leaved forest', 'Mixed forest']","[2, 11, 4, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180220T114339_73_78'],"['Discontinuous urban fabric', 'Sport and leisure facilities']","[10, 24]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170816T095031_10_41'],['Coastal lagoons'],[34]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180204T094159_52_64'],"['Discontinuous urban fabric', 'Coniferous forest', 'Mixed forest']","[10, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170924T93020_31_80'],"['Complex cultivation patterns', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub', 'Inland marshes', 'Water bodies']","[6, 1, 0, 3, 22, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170911T092019_11_84'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Natural grassland']","[5, 4, 15]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170808T094029_18_53'],"['Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Mixed forest', 'Transitional woodland/shrub']","[6, 5, 4, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170831T095029_13_57'],"['Road and rail networks and associated land', 'Airports', 'Broad-leaved forest']","[28, 38, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170617T113321_55_60'],"['Non-irrigated arable land', 'Pastures', 'Transitional woodland/shrub']","[2, 7, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170617T113321_90_30'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180529T115401_87_69'],['Moors and heathland'],[23]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180430T094031_86_36'],['Non-irrigated arable land'],[2]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171015T095031_0_47'],"['Continuous urban fabric', 'Discontinuous urban fabric', 'Industrial or commercial units']","[18, 10, 14]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180228T101021_0_65'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180228T101021_73_23'],"['Non-irrigated arable land', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[2, 1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170914T93030_35_67'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation']","[10, 2, 6, 5]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170617T113321_72_47'],"['Pastures', 'Transitional woodland/shrub']","[7, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180515T112110_8_81'],"['Permanently irrigated land', 'Pastures', 'Agro-forestry areas']","[13, 7, 11]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170924T093019_77_30'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Coniferous forest', 'Mixed forest']","[5, 4, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180204T94161_12_58'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180525T94030_81_67'],"['Coniferous forest', 'Mixed forest']","[1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180205T100211_7_85'],"['Coniferous forest', 'Mixed forest']","[1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170930T095019_45_51'],"['Non-irrigated arable land', 'Complex cultivation patterns', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[2, 6, 1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170924T93021_12_37'],"['Non-irrigated arable land', 'Pastures', 'Complex cultivation patterns', 'Broad-leaved forest', 'Mixed forest']","[2, 7, 6, 4, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180525T094029_42_23'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub', 'Water bodies']","[1, 0, 3, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171206T094349_36_45'],"['Broad-leaved forest', 'Transitional woodland/shrub', 'Water courses']","[4, 3, 19]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170613T101032_79_61'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[2, 5, 1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171208T093351_51_52'],"['Complex cultivation patterns', 'Broad-leaved forest']","[6, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171208T093351_76_49'],"['Construction sites', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[35, 6, 5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170701T093031_75_21'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub', 'Water bodies']","[1, 0, 3, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180201T093219_17_13'],"['Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[6, 5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180508T104032_7_83'],"['Complex cultivation patterns', 'Broad-leaved forest']","[6, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180515T094029_45_82'],['Water bodies'],[8]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171208T093351_57_61'],"['Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Transitional woodland/shrub']","[6, 5, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170814T100029_72_66'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180430T094031_84_85'],"['Broad-leaved forest', 'Mixed forest']","[4, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171101T94132_56_32'],"['Coniferous forest', 'Transitional woodland/shrub', 'Water bodies']","[1, 3, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171112T114339_75_89'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180525T94030_72_61'],"['Coniferous forest', 'Water bodies']","[1, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180521T100029_83_54'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180430T094031_44_66'],"['Non-irrigated arable land', 'Transitional woodland/shrub']","[2, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171002T094031_46_83'],"['Non-irrigated arable land', 'Pastures']","[2, 7]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180204T094159_9_35'],"['Coniferous forest', 'Mixed forest', 'Water bodies']","[1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180506T100031_61_25'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Vineyards', 'Complex cultivation patterns']","[10, 2, 20, 6]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180225T114351_62_59'],"['Construction sites', 'Non-irrigated arable land', 'Pastures', 'Complex cultivation patterns']","[35, 2, 7, 6]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170817T101019_86_44'],"['Non-irrigated arable land', 'Broad-leaved forest', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[2, 4, 1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170818T103021_61_34'],"['Non-irrigated arable land', 'Mixed forest']","[2, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180515T094029_41_2'],"['Coniferous forest', 'Mixed forest', 'Water bodies']","[1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180521T100029_0_58'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170924T093019_30_69'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[2, 5, 1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170906T101019_81_60'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171112T114339_18_59'],"['Discontinuous urban fabric', 'Mineral extraction sites', 'Pastures']","[10, 26, 7]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180506T105029_71_21'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Pastures', 'Land principally occupied by agriculture, with significant areas of natural vegetation']","[10, 2, 7, 5]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180421T114349_6_43'],['Pastures'],[7]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170914T93030_51_71'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Transitional woodland/shrub', 'Water courses']","[2, 5, 3, 19]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180430T094031_83_36'],"['Non-irrigated arable land', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation']","[2, 6, 5]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170704T112111_31_58'],"['Non-irrigated arable land', 'Rice fields', 'Agro-forestry areas', 'Broad-leaved forest', 'Mixed forest', 'Transitional woodland/shrub']","[2, 27, 11, 4, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171002T112112_69_24'],"['Non-irrigated arable land', 'Pastures', 'Complex cultivation patterns', 'Agro-forestry areas']","[2, 7, 6, 11]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180510T94033_14_82'],"['Coniferous forest', 'Transitional woodland/shrub', 'Peatbogs']","[1, 3, 12]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180326T112109_88_34'],"['Pastures', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Natural grassland', 'Sclerophyllous vegetation', 'Transitional woodland/shrub']","[7, 5, 15, 17, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170924T093019_21_28'],"['Coniferous forest', 'Mixed forest', 'Water bodies']","[1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170906T101019_50_46'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180506T100031_30_67'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Mixed forest']","[5, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171121T112351_35_51'],"['Vineyards', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Mixed forest', 'Transitional woodland/shrub']","[20, 5, 4, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180413T095031_65_33'],"['Discontinuous urban fabric', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Mixed forest', 'Inland marshes', 'Water bodies']","[10, 6, 5, 1, 0, 22, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180510T094031_56_47'],['Broad-leaved forest'],[4]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171112T114339_34_21'],"['Non-irrigated arable land', 'Pastures', 'Transitional woodland/shrub']","[2, 7, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180201T093219_43_57'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation']","[2, 5]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180525T94030_76_85'],"['Non-irrigated arable land', 'Mixed forest', 'Transitional woodland/shrub', 'Water bodies']","[2, 0, 3, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170818T112109_50_13'],"['Non-irrigated arable land', 'Agro-forestry areas', 'Broad-leaved forest']","[2, 11, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171219T095409_6_52'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation']","[2, 5]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180508T104031_13_78'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171121T112351_16_20'],"['Olive groves', 'Pastures', 'Sclerophyllous vegetation']","[16, 7, 17]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170905T095031_62_74'],"['Non-irrigated arable land', 'Coniferous forest', 'Mixed forest', 'Water bodies']","[2, 1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180525T94030_7_1'],"['Coniferous forest', 'Water bodies']","[1, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180219T094031_3_10'],"['Coniferous forest', 'Transitional woodland/shrub']","[1, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180413T095031_80_35'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Mixed forest']","[2, 5, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170905T95032_7_75'],"['Coniferous forest', 'Transitional woodland/shrub', 'Peatbogs']","[1, 3, 12]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180205T100211_7_47'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Mixed forest', 'Transitional woodland/shrub']","[2, 5, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170905T095031_72_72'],"['Coniferous forest', 'Transitional woodland/shrub']","[1, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170905T095031_67_52'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180318T093031_17_52'],"['Non-irrigated arable land', 'Pastures', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Water bodies']","[2, 7, 6, 5, 4, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171002T112112_83_76'],"['Olive groves', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Sclerophyllous vegetation']","[16, 5, 17]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180509T092029_32_32'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Transitional woodland/shrub']","[5, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170704T112111_25_85'],"['Broad-leaved forest', 'Mixed forest']","[4, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170930T095019_71_51'],"['Non-irrigated arable land', 'Pastures', 'Complex cultivation patterns']","[2, 7, 6]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170817T101019_84_35'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171002T094031_44_90'],"['Non-irrigated arable land', 'Pastures', 'Natural grassland']","[2, 7, 15]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180421T100029_60_27'],"['Pastures', 'Coniferous forest', 'Natural grassland']","[7, 1, 15]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171107T105229_70_11'],"['Discontinuous urban fabric', 'Industrial or commercial units', 'Non-irrigated arable land', 'Pastures', 'Complex cultivation patterns']","[10, 14, 2, 7, 6]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180318T093031_56_29'],"['Broad-leaved forest', 'Mixed forest', 'Transitional woodland/shrub', 'Inland marshes', 'Water bodies']","[4, 0, 3, 22, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170914T093029_39_9'],"['Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[6, 5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180529T115401_30_49'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180224T112109_5_20'],"['Continuous urban fabric', 'Discontinuous urban fabric', 'Construction sites', 'Complex cultivation patterns']","[18, 10, 35, 6]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170914T093029_14_24'],"['Broad-leaved forest', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[4, 1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170930T095019_42_36'],"['Pastures', 'Mixed forest', 'Transitional woodland/shrub']","[7, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170719T094029_81_73'],"['Discontinuous urban fabric', 'Pastures', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Mixed forest']","[10, 7, 6, 5, 4, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171016T101009_40_42'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180525T94031_10_52'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub', 'Water bodies']","[1, 0, 3, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171121T112351_41_60'],"['Non-irrigated arable land', 'Agro-forestry areas', 'Broad-leaved forest', 'Transitional woodland/shrub']","[2, 11, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171221T112501_15_22'],"['Olive groves', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation']","[16, 6, 5]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170818T112109_41_57'],"['Broad-leaved forest', 'Sclerophyllous vegetation', 'Transitional woodland/shrub', 'Water bodies']","[4, 17, 3, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170817T101019_51_6'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170825T093029_18_67'],"['Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation']","[6, 5]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180525T94031_54_15'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Mixed forest']","[2, 5, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171206T094349_82_60'],['Non-irrigated arable land'],[2]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180204T94161_38_60'],"['Inland marshes', 'Water bodies']","[22, 8]"
